segment,support_total,support_spam,support_ham,accuracy,precision,recall,f1,positive_rate_pred,roc_auc,pr_auc
ukrainian_all_sources_test,808,105,703,0.9938118811881188,0.9901960784313726,0.9619047619047619,0.9758454106280193,0.12623762376237624,0.9977646819752082,0.9924786029008407
ukrainian_spam_sources_test,794,105,689,0.9937027707808564,0.9901960784313726,0.9619047619047619,0.9758454106280193,0.12846347607052896,0.9978021978021978,0.9925793974982503
ukrainian_ham_sources_test,14,0,14,1.0,0.0,0.0,0.0,0.0,,
ukrainian_ham.csv,14,0,14,1.0,0.0,0.0,0.0,0.0,,
ukrainian_spam.csv,16,16,0,0.9375,1.0,0.9375,0.967741935483871,0.9375,,
ukrainian_spam_dataset.csv,778,89,689,0.9948586118251928,0.9885057471264368,0.9662921348314607,0.9772727272727273,0.11182519280205655,0.9975049330571909,0.9911299279590962
