model,threshold,cv_precision_mean,cv_recall_mean,cv_f1_mean,cv_roc_auc_mean,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc
LinearSVM_Calibrated,0.4262287024189695,0.9859732573341414,0.9309644670050762,0.9576436090484917,0.9957148811245453,0.9961904761904762,0.985781990521327,0.985781990521327,0.985781990521327,0.9984955038845881,0.9935337342076606
LogisticRegression,0.6264399618730229,0.9625001342405396,0.9370558375634518,0.949497565049494,0.9947811511600806,0.9936507936507937,0.9808612440191388,0.9715639810426541,0.9761904761904762,0.9977554168809328,0.9916840571940069
ComplementNB,0.6989147195694809,0.9801233234674485,0.899492385786802,0.9380171957365716,0.9889774554889824,0.9904761904761905,0.9803921568627451,0.9478672985781991,0.963855421686747,0.9970361773985074,0.9868451932788412
