segment,support_total,support_spam,support_ham,accuracy,precision,recall,f1,positive_rate_pred,roc_auc,pr_auc
english_all_sources_test,768,106,662,0.9869791666666666,0.98,0.9245283018867925,0.9514563106796117,0.13020833333333334,0.9950977597902297,0.9844901176895853
english_spam_sources_test,106,106,0,0.9245283018867925,1.0,0.9245283018867925,0.9607843137254902,0.9245283018867925,,
english_ham_sources_test,662,0,662,0.9969788519637462,0.0,0.0,0.0,0.0030211480362537764,,
spam.csv,768,106,662,0.9869791666666666,0.98,0.9245283018867925,0.9514563106796117,0.13020833333333334,0.9950977597902297,0.9844901176895853
